Model,pass@1,prompted
GPT-4 (May 2023),76.8,TRUE
WizardCoder-Python-34B-V1.0,64.6,TRUE
ChatGPT (May 2023),64,TRUE
Phind-CodeLlama-34B-v2,67.1,FALSE
DeepSeek-Coder-33B-base,43.3,FALSE
DeepSeek-Coder-33B-instruct,72.6,TRUE
DeepSeek-Coder-6.7B-base,39.6,FALSE
DeepSeek-Coder-6.7B-instruct,70.1,TRUE
DeepSeek-Coder-1.3B-instruct,58.5,TRUE
Mistral-7B,23.2,FALSE
Mistral-codealpaca-7B,40.9,FALSE
Zephyr β-7B,23.2,FALSE
StarCoder-15B,29.3,FALSE
StarCoder-1B,11,FALSE
StarCoder-3B,14.6,FALSE
StarCoder-7B,20.7,FALSE
CodeLlama-7B,34.1,FALSE
CodeLlama-13B,36.6,FALSE
CodeLlama-34B,42.7,FALSE
CodeT5+-2B,22,FALSE
CodeT5+-6B,23.8,FALSE
CodeT5+-16B,26.2,FALSE
CodeGen-2B,21.3,FALSE
CodeGen-6B,25.6,FALSE
CodeGen-16B,27.4,FALSE
CodeGen2-1B,9.1,FALSE
CodeGen2-3B,12.8,FALSE
CodeGen2-7B,16.5,FALSE
CodeGen2-16B,16.5,FALSE
Vicuna-7B,11,FALSE
Vicuna-13B,15.2,FALSE
SantaCoder-1.1B,12.8,FALSE
InCoder-1.3B,10.4,FALSE
InCoder-6.7B,12.2,FALSE
GPT-J-6B,10.4,FALSE
GPT-Neo-2.7B,6.7,FALSE
PolyCoder-2.7B,5.5,FALSE
StableLM-7B,2.4,FALSE
