Model,pass@1_base,pass@1_plus,prompted,OD,link
GPT-4-Turbo (Nov 2023),85.4,81.7,True,NONE,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
GPT-4 (May 2023),88.4,79.3,True,NONE,https://openai.com/research/gpt-4
GPT-3.5-Turbo (Nov 2023),76.8,70.7,True,NONE,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
GPT-3.5 (May 2023),73.2,66.5,True,NONE,https://openai.com/blog/chatgpt
Gemini Pro,63.4,55.5,True,NONE,https://deepmind.google/technologies/gemini/
WizardCoder-Python-34B-V1.0,73.2,64.6,True,NONE,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0
WizardCoder-15B-V1.0,57.3,51.8,True,NONE,https://huggingface.co/WizardLM/WizardCoder-15B-V1.0
WizardCoder-Python-7B-V1.0,48.2,40.9,True,NONE,https://huggingface.co/WizardLM/WizardCoder-Python-7B-V1.0
Phind-CodeLlama-34B-v2,71.3,67.1,False,NONE,https://huggingface.co/Phind/Phind-CodeLlama-34B-v2
DeepSeek-Coder-33B-base,51.2,44.5,False,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-33b-base
DeepSeek-Coder-33B-instruct,81.1,75.0,True,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct
DeepSeek-Coder-7B-instruct-v1.5,75.0,69.5,True,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-7b-instruct-v1.5
DeepSeek-Coder-6.7B-base,47.6,39.6,False,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-base
DeepSeek-Coder-6.7B-instruct,73.8,70.1,True,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct
DeepSeek-Coder-1.3B-base,28.7,25.6,False,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base
DeepSeek-Coder-1.3B-instruct,65.2,59.8,True,NONE,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-instruct
Mistral-7B,28.7,23.8,False,NONE,https://mistral.ai/news/announcing-mistral-7b/
Mistral-codealpaca-7B,48.2,42.1,False,Partial,https://huggingface.co/Nondzu/Mistral-7B-codealpaca-lora
Zephyr β-7B,30.0,23.2,False,Partial,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
StarCoder-15B,34.1,29.3,False,Full,https://huggingface.co/bigcode/starcoder
StarCoderBase-1B,14.6,12.2,False,Full,https://huggingface.co/bigcode/starcoderbase-1b
StarCoderBase-3B,17.7,15.9,False,Full,https://huggingface.co/bigcode/starcoderbase-3b
StarCoderBase-7B,24.4,21.3,False,Full,https://huggingface.co/bigcode/starcoderbase-7b
StarCoder2-15B,46.3,37.8,False,Full,https://huggingface.co/bigcode/starcoder2-15b
StarCoder2-7B,35.4,29.9,False,Full,https://huggingface.co/bigcode/starcoder2-7b
StarCoder2-3B,31.7,27.4,False,Full,https://huggingface.co/bigcode/starcoder2-3b
CodeLlama-7B,37.8,35.4,False,NONE,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/amp/
CodeLlama-13B,42.7,38.4,False,NONE,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/amp/
CodeLlama-34B,51.8,43.9,False,NONE,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/amp/
CodeLlama-70B-Instruct,72.0,65.2,True,NONE,https://huggingface.co/codellama/CodeLlama-70b-Instruct-hf
CodeLlama-70B,55.5,50.0,False,NONE,https://huggingface.co/codellama/CodeLlama-70b-Python-hf
CodeT5+-2B,25.0,22.0,False,Full,https://blog.salesforceairesearch.com/codet5/
CodeT5+-6B,29.3,24.4,False,Full,https://blog.salesforceairesearch.com/codet5/
CodeT5+-16B,31.7,26.8,False,Full,https://blog.salesforceairesearch.com/codet5/
CodeGen-2B,24.4,22.6,False,Full,https://arxiv.org/abs/2203.13474
CodeGen-6B,29.3,25.6,False,Full,https://arxiv.org/abs/2203.13474
CodeGen-16B,32.9,28.0,False,Full,https://arxiv.org/abs/2203.13474
CodeGen2-1B,11.0,9.1,False,Full,https://arxiv.org/abs/2305.02309
CodeGen2-3B,15.9,12.8,False,Full,https://arxiv.org/abs/2305.02309
CodeGen2-7B,18.3,17.7,False,Full,https://arxiv.org/abs/2305.02309
CodeGen2-16B,19.5,16.5,False,Full,https://arxiv.org/abs/2305.02309
